Title,Release,BPM,ENERGY,DANCE,LOUD,VALENCE
Track 1,2012-12-16,0.75,0.11,0.03,0.04,-0.94
Track 2,2012-12-16,0.82,0.53,-1.53,-0.16,0.22
Track 3,2012-12-16,-1.15,0.49,0.09,0.83,-0.38
Track 4,2012-12-16,-0.81,1.24,-1.29,0.63,-1.07
Track 5,2012-12-16,0.78,0.53,-0.39,0.43,-0.99
Track 6,2012-12-16,2.44,0.61,-0.81,1.03,-0.12
Track 7,2012-12-16,0.47,0.57,-0.03,0.43,-0.30
Track 8,2012-12-16,0.71,0.28,-0.39,0.63,-0.69
Track 9,2012-12-16,-0.84,0.11,-1.77,0.04,-1.33
Track 10,2012-12-16,-0.15,0.57,1.23,0.24,2.04
Track 11,2012-12-16,0.51,-0.10,-0.33,-0.36,-1.07
Track 12,2012-12-16,0.82,0.53,0.63,0.43,0.22
First Things First,2017-02-24,-0.70,0.99,0.63,1.03,-0.04
Cold,2017-02-24,0.75,1.66,0.63,1.42,1.00
Bad Boys (feat. Ghetts and J Hus),2017-02-24,0.30,0.28,-0.15,0.83,-0.73
"Blinded By Your Grace, Pt. 1",2017-02-24,0.33,-2.06,-0.39,-2.14,-0.99
Big For Your Boots,2017-02-24,2.03,1.36,-0.63,0.83,0.61
Velvet / Jenny Francis - Interlude,2017-02-24,-0.32,-0.31,-0.81,0.63,-0.99
Mr Skeng,2017-02-24,0.82,0.61,0.45,0.83,-0.38
Cigarettes & Cush (feat. Kehlani & Lily Allen),2017-02-24,0.68,0.28,0.09,0.63,1.18
21 Gun Salute (feat. Wretch 32) - Interlude,2017-02-24,-1.29,-0.64,-0.39,-0.36,-1.29
"Blinded By Your Grace, Pt. 2 (feat. MNEK)",2017-02-24,0.13,0.15,-1.65,0.83,-1.16
Return Of The Rucksack,2017-02-24,0.78,0.86,0.69,1.03,-0.12
100 Bags,2017-02-24,0.13,-0.47,-0.39,-0.16,0.92
Don't Cry For Me (feat. Raleigh Ritchie),2017-02-24,0.71,0.70,0.15,0.83,0.57
Crazy Titch - Interlude,2017-02-24,-0.15,-0.60,0.57,-1.15,0.87
Shut Up,2017-02-24,-1.46,1.03,-0.93,1.03,1.95
Lay Me Bare,2017-02-24,-1.05,0.40,-0.27,0.83,-1.64
Intro,2014-07-20,0.13,-0.39,-0.69,-0.95,0.14
Forever,2014-07-20,-1.39,-0.93,-1.29,-1.15,-1.07
Not That Deep,2014-07-20,0.82,0.95,-0.99,0.04,1.31
No Way,2014-07-20,0.75,0.28,0.09,0.04,0.18
Dreamers Disease,2014-07-20,0.47,-0.56,-0.03,-0.95,-1.38
Storm Trooper,2014-07-20,-1.15,-0.47,-1.41,-0.76,1.26
Jupa,2014-07-20,-0.56,0.07,0.87,-0.16,2.08
"Odyssey, Pt. 1",2017-08-30,-1.15,1.41,-2.12,1.03,0.05
The Little Things (feat. Angela McCluskey),2017-08-30,1.03,1.49,-0.87,1.42,-0.17
Miss Primetime (feat. Pell),2017-08-30,0.71,1.49,-0.21,1.62,0.44
C'mon,2017-08-30,-0.77,1.53,-0.57,1.23,-0.86
"All of Me (feat. Logic, ROZES)",2017-08-30,0.89,1.28,0.03,1.23,-1.25
Got The Love (feat. Jennifer Hartswick),2017-08-30,-1.39,1.57,-0.15,1.42,1.39
Highly Possible (feat. Waka Flocka Flame),2017-08-30,-0.81,1.70,0.15,1.62,0.35
I've Gotta Know (feat. Jennifer Hartswick),2017-08-30,-0.56,1.66,-0.15,1.42,-0.43
No Apologies (feat. Natalie Cressman),2017-08-30,-0.39,1.57,0.21,1.62,0.14
Bring The Funk Back,2017-08-30,-0.22,1.32,0.69,1.42,0.48
Wide Open (feat. Cherub),2017-08-30,0.30,1.57,0.81,1.42,1.61
Brighter Future (feat. Naaz),2017-08-30,1.09,1.36,0.15,1.42,0.57
Long Time Coming,2017-08-30,0.61,0.53,-1.23,0.63,-0.77
"Odyssey, Pt. 1 - KRANE Remix",2017-08-30,1.16,1.24,-0.99,1.03,-1.07
The Little Things (feat. Angela McCluskey) - Kasbo Remix,2017-08-30,-1.08,0.03,-0.81,0.63,-1.20
Got The Love (feat. Jennifer Hartswick) - Kill The Zo Remix,2017-08-30,-1.39,1.28,-0.33,1.03,-0.81
"All of Me (feat. Logic, ROZES) - Naderi Remix",2017-08-30,0.89,0.90,-0.45,0.83,-0.94
Brighter Future (feat. Naaz) - Win and Woo Remix,2017-08-30,1.09,-0.18,0.09,0.63,0.01
Got The Love (feat. Jennifer Hartswick) - The Funk Hunters Remix,2017-08-30,-0.56,0.95,0.03,1.03,1.43
C'mon - Cloudchord Remix,2017-08-30,-0.18,1.11,-1.23,0.83,0.70
Highly Possible (feat. Waka Flocka Flame) - Pham Remix,2017-08-30,-0.70,1.07,-0.03,1.03,-0.86
Bring The Funk Back - The Geek x Vrv Remix,2017-08-30,-0.56,0.32,1.46,0.24,-1.12
I've Gotta Know (feat. Jennifer Hartswick) - TRAILS Remix,2017-08-30,-0.56,0.49,0.03,0.63,1.05
The Little Things (feat. Angela McCluskey) - Luca Lush Remix,2017-08-30,1.16,1.49,-0.87,1.23,-1.29
Miss Primetime (feat. Pell) - Manic Focus Remix,2017-08-30,0.71,1.28,0.51,1.03,1.95
No Apologies (feat. Natalie Cressman) - Falcon Punch Remix,2017-08-30,-0.32,-0.39,0.33,0.04,-1.20
Wide Open (feat. Cherub) - autolaser Remix,2017-08-30,-0.22,0.95,0.33,0.83,0.14
Long Time Coming - Sweater Beats Remix,2017-08-30,-0.56,0.70,0.57,0.24,-1.72
"Odyssey, Pt. 1 - KRANE Remix",2017-08-30,1.16,1.24,-0.99,1.03,-1.07
The Little Things (feat. Angela McCluskey) - Kasbo Remix,2017-08-30,-1.08,0.03,-0.81,0.63,-1.20
Got The Love (feat. Jennifer Hartswick) - Kill The Zo Remix,2017-08-30,-1.39,1.28,-0.33,1.03,-0.81
"All of Me (feat. Logic, ROZES) - Naderi Remix",2017-08-30,0.89,0.90,-0.45,0.83,-0.94
Brighter Future (feat. Naaz) - Win and Woo Remix,2017-08-30,1.09,-0.18,0.09,0.63,0.01
Got The Love (feat. Jennifer Hartswick) - The Funk Hunters Remix,2017-08-30,-0.56,0.95,0.03,1.03,1.43
C'mon - Cloudchord Remix,2017-08-30,-0.18,1.11,-1.23,0.83,0.70
Highly Possible (feat. Waka Flocka Flame) - Pham Remix,2017-08-30,-0.70,1.07,-0.03,1.03,-0.86
Bring The Funk Back - The Geek x Vrv Remix,2017-08-30,-0.56,0.32,1.46,0.24,-1.12
I've Gotta Know (feat. Jennifer Hartswick) - TRAILS Remix,2017-08-30,-0.56,0.49,0.03,0.63,1.05
The Little Things (feat. Angela McCluskey) - Luca Lush Remix,2017-08-30,1.16,1.49,-0.87,1.23,-1.29
Miss Primetime (feat. Pell) - Manic Focus Remix,2017-08-30,0.71,1.28,0.51,1.03,1.95
No Apologies (feat. Natalie Cressman) - Falcon Punch Remix,2017-08-30,-0.32,-0.39,0.33,0.04,-1.20
Wide Open (feat. Cherub) - autolaser Remix,2017-08-30,-0.22,0.95,0.33,0.83,0.14
Long Time Coming - Sweater Beats Remix,2017-08-30,-0.56,0.70,0.57,0.24,-1.72
Plan B,2019-02-08,-0.88,0.19,1.29,0.04,0.35
Jackpot,2019-02-08,0.40,0.11,0.87,0.04,0.57
Rina,2019-02-08,-0.39,0.15,0.09,-0.56,-0.21
Wifey Riddim 3,2019-02-08,-0.08,-0.01,1.52,0.04,-0.60
Double C's,2019-02-08,0.89,0.40,0.75,-0.36,-0.34
Country Star,2019-02-08,0.89,-0.43,1.05,-0.36,0.09
Psych Out!,2019-02-08,-1.32,-0.06,0.63,-0.16,-0.60
Butterflies,2019-02-08,-0.43,0.49,0.81,-0.16,0.48
Necklace,2019-02-08,0.68,-0.47,1.11,-0.36,-0.69
Prada Me,2019-02-08,1.06,-0.56,0.27,-0.95,0.74
Ladbroke Grove,2019-02-08,0.61,1.11,1.64,0.04,1.05
Doing It,2019-02-08,0.82,0.82,0.87,0.43,-0.56
Nothing But Net,2019-02-08,0.82,0.44,1.46,0.04,-0.21
Horror Flick,2019-02-08,-1.67,1.53,-0.33,0.24,1.05
Triple S,2019-02-08,1.47,1.07,0.57,0.43,1.00
Bread Winner,2019-04-27,-0.91,0.61,-0.15,0.83,0.66
Need a Change,2019-04-27,-1.01,0.40,-0.63,0.83,0.40
Bonafide,2019-04-27,-0.81,0.28,0.09,0.63,0.74
Boaty Boy,2019-04-27,-0.98,0.95,-0.57,1.03,0.92
Street Survivors Riddim - Instrumental,2019-04-27,-0.81,-0.77,-0.81,0.24,1.35
minipops 67 [120.2][source field mix],2014-09-19,0.13,1.07,0.57,0.24,-1.55
XMAS_EVET10 [120][thanaton3 mix],2014-09-19,0.13,1.11,0.15,0.04,0.57
produk 29 [101],2014-09-19,-0.53,-0.06,1.17,0.24,-0.77
4 bit 9d api+e+6 [126.26],2014-09-19,0.33,0.86,0.87,0.24,0.74
180db_ [130],2014-09-19,0.47,0.15,1.23,0.43,0.31
CIRCLONT6A [141.98][syrobonkus mix],2014-09-19,0.89,1.24,0.63,0.43,0.83
fz pseudotimestretch+e+3 [138.85],2014-09-19,0.78,-1.64,-0.21,-1.35,-0.43
CIRCLONT14 [152.97][shrymoming mix],2014-09-19,1.27,1.70,0.27,0.43,-1.33
syro u473t8+e [141.98][piezoluminescence mix],2014-09-19,0.89,0.78,0.75,0.04,0.57
PAPAT4 [155][pineal mix],2014-09-19,1.34,1.41,0.27,0.43,0.74
s950tx16wasr10 [163.97][earth portal mix],2014-09-19,1.65,1.45,0.39,0.63,1.09
aisatsana [102],2014-09-19,-0.50,-2.35,-2.06,-4.72,-1.94
Jynweythek,2001-10-22,0.13,-1.35,0.57,-2.14,-1.59
Vordhosbn,2001-10-22,1.85,1.61,0.21,0.43,0.48
Kladfvgbung Mischk,2001-10-22,0.47,-0.14,1.17,-1.55,-1.42
Omgyjya-Switch7,2001-10-22,-0.74,1.49,-0.21,0.63,-0.34
Strotha Tynhe,2001-10-22,0.61,-2.39,-1.59,-3.13,-1.94
Gwety Mernans,2001-10-22,1.47,-1.85,-1.94,-3.93,-1.94
Bbydhyonchord,2001-10-22,0.23,-0.52,1.05,-0.16,1.69
Cock/ver10,2001-10-22,1.85,1.53,-0.51,0.24,-0.86
Avril 14th,2001-10-22,1.44,-2.27,-0.39,-4.12,-0.51
Mt Saint Michel + Saint Michaels Mount,2001-10-22,-0.56,1.53,0.33,0.04,-1.33
Gwarek2,2001-10-22,0.51,-1.39,-1.53,-2.93,-1.94
Orban Eq Trx 4,2001-10-22,-0.91,-1.23,0.87,-0.16,-0.94
Aussois,2001-10-22,-4.02,-2.35,-3.74,-3.33,-2.11
Hy A Scullyas Lyf Adhagrow,2001-10-22,0.47,-0.39,0.75,-2.14,0.74
Kesson Dalek,2001-10-22,1.85,-1.35,-0.45,-1.75,0.27
54 Cymru Beats,2001-10-22,1.79,1.66,0.03,0.63,-0.38
Btoum-Roumada,2001-10-22,-1.43,-1.60,-2.84,-1.35,-1.90
Lornaderek,2001-10-22,-1.50,-1.81,0.81,-2.14,1.00
QKThr,2001-10-22,-1.29,-2.31,-0.99,-3.33,-1.85
Meltphace 6,2001-10-22,1.30,1.49,-0.27,-0.16,-0.94
Bit 4,2001-10-22,-1.77,-2.31,-2.66,-3.53,-2.11
Prep Gwarek 36,2001-10-22,0.47,-1.23,0.51,-1.94,-1.98
Father,2001-10-22,0.26,-2.27,-0.51,-2.14,-1.25
Taking Control,2001-10-22,1.16,0.74,0.09,-0.76,0.66
Petiatil Cx Htdui,2001-10-22,-1.50,-2.35,-1.23,-4.12,-1.46
Ruglen Holon,2001-10-22,0.13,-1.60,0.93,-2.54,-0.21
Afx237 v.7,2001-10-22,1.79,1.70,0.03,0.43,-1.20
Ziggomatic 17,2001-10-22,2.20,1.07,-0.39,-0.16,-0.56
Beskhu3epnm,2001-10-22,0.61,-1.64,0.57,-2.74,-1.90
Nanou2,2001-10-22,-0.81,-2.39,-1.71,-3.93,-1.77
4,1996-11-04,1.75,0.19,-1.17,0.43,-1.51
Cornish Acid,1996-11-04,0.82,1.53,0.81,0.63,-0.47
Peek 82454201,1996-11-04,1.85,1.03,-0.03,0.24,0.57
Fingerbib,1996-11-04,0.54,-0.06,-0.03,-0.36,1.31
Carn Marth,1996-11-04,1.75,1.78,-0.15,1.23,0.44
To Cure A Weakling Child,1996-11-04,1.61,1.66,0.15,0.43,-0.38
Goon Gumpas,1996-11-04,0.65,-1.31,-1.41,-0.76,-0.51
Yellow Calx,1996-11-04,1.75,1.61,-2.00,0.43,0.22
Girl/Boy Song,1996-11-04,1.82,0.28,-0.57,0.04,-0.04
Logan Rock Witch,1996-11-04,0.54,0.32,-0.27,-0.16,-0.99
Acrid Avid Jam Shred,1995-04-24,-1.22,1.53,0.51,-0.16,1.31
The Waxen Pith,1995-04-24,0.40,-0.64,-0.51,-1.15,-0.51
Wax The Nip,1995-04-24,2.37,1.36,-1.53,-0.16,-0.47
Icct Hedral,1995-04-24,0.89,1.28,-1.29,-0.16,-1.59
Ventolin (Video Edit),1995-04-24,1.03,1.57,-0.99,0.63,-0.60
Come On You Slags,1995-04-24,-0.91,1.78,-2.18,0.24,-1.42
Start As You Mean To Go On,1995-04-24,1.20,1.74,-0.09,0.04,0.27
Wet Tip Hen Ax,1995-04-24,0.47,-0.64,0.33,0.04,-1.72
Mookid,1995-04-24,0.13,-0.64,0.39,-0.95,-0.34
Alberto Balsalm,1995-04-24,-0.77,0.11,0.99,-0.95,0.35
Cow Cud Is A Twin,1995-04-24,-1.29,0.32,1.35,0.24,0.74
Next Heap With,1995-04-24,-1.32,-2.02,-3.08,-1.75,-1.94
Digeridoo,1995,1.03,1.66,-0.63,0.04,0.40
Flaphead,1995,0.68,1.78,-0.33,0.24,0.35
Phloam,1995,0.68,1.66,-0.57,0.04,-1.07
Isoprophlex - AKA Isopropanol,1995,0.68,1.32,0.15,-0.16,-0.69
Polynomial-C,1995,-1.53,0.95,-2.42,-0.36,0.27
Tamphex - Hedphuq Mix,1995,1.44,1.36,-0.69,0.04,-0.25
Phlange Phace,1995,1.06,1.49,-0.69,0.04,0.18
Dodeccaheedron,1995,0.68,1.78,0.39,0.83,-1.81
Analogue Bubblebath,1995,0.26,0.36,-0.27,-0.76,-1.90
Metapharstic,1995,0.96,1.36,-1.41,0.04,-1.94
We Have Arrived - Aphex Twin QQT Mix,1995,0.85,1.53,0.39,0.63,-1.55
We Have Arrived - Aphex Twin TTQ Mix,1995,1.16,1.49,-1.77,0.24,-0.81
"Digeridoo - Live in Cornwall, 1990",1995,0.96,1.57,-0.75,-0.36,-0.47
You Won't Be Satisfied (Until You Break My Heart),2018-04-06,-1.36,-1.18,-0.21,0.04,0.14
The Frim Fram Sauce,2018-04-06,-0.46,-1.02,0.63,0.04,0.74
Dream A Little Dream Of Me,2018-04-06,-1.46,-1.56,-0.27,-0.36,-0.25
Can Anyone Explain?,2018-04-06,-0.60,-1.56,-0.45,0.24,-0.60
Necessary Evil,2018-04-06,-1.01,-0.97,0.03,0.43,0.83
Oops!,2018-04-06,0.37,-1.18,0.57,0.63,0.61
Who Walks In When I Walk Out?,2018-04-06,0.68,-1.43,0.15,0.24,1.13
Would You Like To Take A Walk?,2018-04-06,-1.36,-1.60,-0.69,-0.16,-1.03
Can't We Be Friends?,2018-04-06,-0.18,-1.06,0.39,-0.36,0.09
Isn't This A Lovely Day?,2018-04-06,-1.22,-1.94,-1.17,-0.95,-1.42
Moonlight In Vermont,2018-04-06,0.65,-2.14,-1.11,-1.55,-1.64
They Can't Take That Away From Me,2018-04-06,-0.39,-1.39,-0.39,-0.56,-0.43
Under A Blanket Of Blue,2018-04-06,-0.63,-1.31,-0.15,-0.56,0.09
Tenderly,2018-04-06,-0.67,-1.85,-0.87,-0.95,-1.12
A Foggy Day,2018-04-06,-0.15,-1.43,-0.69,-0.95,-0.43
Stars Fell On Alabama,2018-04-06,1.82,-1.94,-1.77,-0.95,-1.38
Cheek To Cheek,2018-04-06,0.23,-1.02,0.09,-0.56,0.35
The Nearness Of You,2018-04-06,-1.19,-1.81,-1.23,-1.35,-1.07
April In Paris,2018-04-06,-0.22,-2.06,-0.93,-1.55,-1.42
Don't Be That Way,2018-04-06,-0.63,-1.35,-0.69,-0.56,-0.73
Makin' Whoopee,2018-04-06,-0.15,-1.10,-0.03,-0.36,-0.69
They All Laughed,2018-04-06,0.02,-1.35,0.33,-0.36,-0.12
Comes Love,2018-04-06,0.61,-1.23,0.51,0.24,0.22
Autumn In New York,2018-04-06,0.75,-2.02,-1.23,-1.15,-1.55
Let's Do It (Let's Fall In Love),2018-04-06,-1.50,-1.48,-1.05,-0.76,-0.86
Stompin' At The Savoy,2018-04-06,-0.32,-0.39,-0.63,-0.16,0.53
I Won't Dance,2018-04-06,2.06,-0.68,-1.05,-0.36,0.35
"Gee, Baby, Ain't I Good To You?",2018-04-06,-1.05,-1.27,-0.69,-0.16,0.18
Let's Call The Whole Thing Off,2018-04-06,0.20,-1.02,0.27,-0.76,0.35
These Foolish Things (Remind Me Of You),2018-04-06,0.02,-2.19,-1.05,-1.75,-1.29
I've Got My Love To Keep Me Warm,2018-04-06,-0.18,-0.47,-0.63,-0.16,0.92
Willow Weep For Me,2018-04-06,-0.88,-0.85,0.15,0.24,-0.25
I'm Puttin' All My Eggs In One Basket,2018-04-06,-1.15,-0.85,-0.81,-0.16,0.31
A Fine Romance,2018-04-06,2.06,-0.39,-0.93,0.04,0.53
Ill Wind,2018-04-06,-1.57,-2.23,-2.06,-1.15,-1.77
Love Is Here To Stay,2018-04-06,-0.50,-1.43,-0.33,-0.16,-0.08
I Get A Kick Out Of You,2018-04-06,0.44,-1.06,0.21,-0.56,0.01
Learnin' The Blues,2018-04-06,-1.08,-1.48,-0.33,-0.56,-0.25
Porgy And Bess: Overture,2018-04-06,0.23,-1.39,-2.30,-0.56,-1.90
Summertime,2018-04-06,0.75,-1.39,-2.30,-0.36,-1.77
I Wants To Stay Here,2018-04-06,0.58,-1.48,-1.94,-0.36,-1.25
My Man's Gone Now,2018-04-06,-1.12,-1.64,-2.78,-0.36,-1.94
I Got Plenty O' Nuttin',2018-04-06,-1.19,-0.60,-0.33,-0.16,0.14
Buzzard Song,2018-04-06,-1.50,-1.39,-2.12,0.04,-1.16
Bess You Is My Woman Now,2018-04-06,0.68,-1.31,-2.36,-0.36,-1.81
It Ain't Necessarily So,2018-04-06,-0.22,-1.39,-1.17,-0.36,-0.94
What You Want Wid Bess?,2018-04-06,0.47,-1.18,-1.23,-0.16,0.27
A Woman Is A Sometime Thing,2018-04-06,0.82,-0.64,-0.93,-0.16,0.44
"Oh, Doctor Jesus",2018-04-06,-0.01,-1.85,-1.77,-0.76,-1.20
"Porgy And Bess: Medley: Here Come De Honey Man / Crab Man / Oh, Dey's So Fresh And Fine",2018-04-06,1.34,-1.60,-1.65,-1.15,-0.86
There's A Boat Dat's Leavin' Soon For New York,2018-04-06,-1.26,-0.60,-0.33,0.04,0.70
"Bess, Oh Where's My Bess?",2018-04-06,-1.32,-1.56,-2.54,-1.15,-1.46
"Oh Lawd, I'm On My Way",2018-04-06,1.68,-0.47,-2.24,-0.16,0.22
The Memphis Blues - Live From The Chesterfield Show/1957,2018-04-06,-1.46,-1.31,-0.75,-0.76,0.18
You Won't Be Satisfied (Until You Break My Heart) - Live At The Hollywood Bowl /1956,2018-04-06,-1.60,-1.31,-0.81,-0.56,-0.43
Undecided - Live From The Hollywood Bowl/1956,2018-04-06,-1.39,0.57,-1.17,0.43,1.26
You Won't Be Satisfied - Alt Take B,2018-04-06,-1.29,-1.31,-0.57,-1.15,0.14
The Frim Fram Sauce - Take 1 And 2 / False Start And Breakdown,2018-04-06,1.82,-0.97,-0.57,-0.76,0.87
The Frim Fram Sauce - Alt Take B,2018-04-06,-0.63,-0.93,0.39,-0.56,0.70
Makin' Whoopee - Take 1,2018-04-06,-0.22,-1.43,-0.39,-1.15,-0.56
Makin' Whoopee - Take 2 / Complete Alternate Take,2018-04-06,-1.39,-1.64,-0.87,-1.15,-0.64
I Get A Kick Out Of You - Take 2 And 3,2018-04-06,1.99,-1.98,-0.93,-2.54,-0.47
I Get A Kick Out Of You - Take 4,2018-04-06,-1.98,-1.52,-0.87,-0.95,-0.43
I Get A Kick Out Of You - Take 13,2018-04-06,0.51,-1.48,-0.21,-1.15,-0.51
Let's Do It (Let's Fall In Love) - Take 3,2018-04-06,-1.50,-1.89,-0.57,-1.75,-0.81
Willow Weep For Me - Take 4,2018-04-06,-0.94,-2.14,0.45,-1.55,-0.64
I Got Plenty O' Nuttin' - Mono,2018-04-06,1.65,-0.68,-1.11,0.24,0.83
A Woman Is A Sometime Thing,2018-04-06,0.78,-0.47,-0.87,0.04,0.31
"Bess, Oh Where's My Bess? - Take 5 And 6",2018-04-06,-0.12,-1.64,-1.83,-1.35,-1.07
"Bess, Oh Where's My Bess? - Take 7",2018-04-06,-1.19,-1.56,-2.18,-1.15,-1.29
"Bess, Oh Where's My Bess? - Take 8",2018-04-06,-0.15,-1.64,-2.18,-1.35,-1.46
"Bess, Oh Where's My Bess? - Take 9",2018-04-06,-1.70,-1.73,-2.18,-1.55,-1.29
"Bess, Oh Where's My Bess? - Insert For Take 9",2018-04-06,-1.05,-1.81,-2.54,-1.15,-1.38
"Bess, Oh Where's My Bess? - Take 10",2018-04-06,-0.91,-1.98,-2.24,-1.94,-0.51
Red-Headed Woman - Mix 1,2018-04-06,-1.46,-1.10,0.39,-0.36,0.57
"'S Wonderful - Live At The Shrine Auditorium, Los Angeles, 1956",2018-11-23,-0.70,-0.89,-0.27,-0.36,1.65
"Cry Me A River - Live At The Shrine Auditorium, Los Angeles, 1956",2018-11-23,-0.39,-1.73,-1.65,-1.55,-1.25
"Lullaby Of Birdland - Live At The Shrine Auditorium, Los Angeles, 1956",2018-11-23,0.20,-0.89,0.03,-0.16,1.13
"Glad To Be Unhappy - Live At The Shrine Auditorium, Los Angeles, 1956",2018-11-23,-0.36,-2.14,-1.53,-2.34,-1.33
"And The Angels Sing - Live At The Shrine Auditorium, Los Angeles, 1956",2018-11-23,0.02,-0.68,-0.39,-0.56,0.48
"Joe William's Blues - Live At The Shrine Auditorium, Los Angeles, 1956",2018-11-23,-0.50,0.15,0.51,0.04,1.74
"Air Mail Special - Live At The Shrine Auditorium, Los Angeles, 1956",2018-11-23,0.75,0.24,0.09,0.04,0.44
"Norman Granz Announcement - Live At The Shrine Auditorium, Los Angeles, 1956",2018-11-23,-1.15,1.78,-2.30,0.04,-1.98
It All Depends On You - Live At Zardi’s/1956,2017-12-01,0.54,0.19,-0.21,0.63,1.43
Tenderly - Live At Zardi’s/1956,2017-12-01,-0.29,-1.23,-1.59,-0.56,-1.33
Why Don't You Do Right - Live At Zardi’s/1956,2017-12-01,0.23,-0.43,0.57,0.63,0.83
Cry Me A River - Live At Zardi’s/1956,2017-12-01,-0.67,-1.18,-1.41,-0.56,-0.77
In A Mellow Tone - Live At Zardi’s/1956,2017-12-01,0.65,0.36,-0.21,0.63,1.00
Joe Williams's Blues - Live At Zardi’s/1956,2017-12-01,-0.29,0.49,-0.15,0.43,1.09
A Fine Romance - Live At Zardi’s/1956,2017-12-01,0.68,-0.77,0.03,0.63,0.96
How High The Moon - Live At Zardi’s/1956,2017-12-01,0.58,0.74,-0.39,0.63,1.13
Gone With The Wind - Live At Zardi’s/1956,2017-12-01,-0.29,-0.89,-1.23,-0.36,-0.43
Bernie's Tune - Live At Zardi’s/1956,2017-12-01,0.40,0.15,-0.09,0.24,1.05
'S Wonderful - Live At Zardi’s/1956,2017-12-01,3.03,0.57,-1.29,0.43,1.43
Glad To Be Unhappy - Live At Zardi’s/1956,2017-12-01,0.99,-1.48,-1.59,-1.35,-1.12
Lullaby Of Birdland - Live At Zardi’s/1956,2017-12-01,0.33,-0.14,0.09,0.43,0.83
The Tender Trap - Live At Zardi’s/1956,2017-12-01,0.06,-0.39,0.51,0.24,0.66
And The Angels Sing - Live At Zardi’s/1956,2017-12-01,0.20,-0.18,-0.33,0.43,0.48
I Can't Give You Anything But Love - Live At Zardi’s/1956,2017-12-01,0.16,-0.01,0.09,-0.16,0.87
Little Boy (Little Girl) - Live At Zardi’s/1956,2017-12-01,0.89,0.19,0.03,0.24,1.56
"A-Tisket, A-Tasket - Live At Zardi’s/1956",2017-12-01,-0.32,0.11,0.63,0.43,1.61
My Heart Belongs To Daddy - Live At Zardi’s/1956,2017-12-01,-0.08,-1.48,-1.17,-1.15,-0.94
Airmail Special - Live At Zardi’s/1956,2017-12-01,0.85,0.86,-0.51,0.63,0.79
I've Got A Crush On You - Live At Zardi’s/1956,2017-12-01,-0.32,-1.27,-1.29,-0.56,-0.47
Show Introduction - Live At Dallas Memorial Auditorium / 1968,2018-10-12,-0.84,0.99,-1.71,0.63,1.61
If I Ruled The World - Live At Dallas Memorial Auditorium / 1968,2018-10-12,-1.36,-0.56,-2.00,0.43,-0.90
James Brown Thanks - Live At Dallas Memorial Auditorium / 1968,2018-10-12,-0.46,0.19,-0.81,-1.75,-1.72
Introduction To Say It Loud - I'm Black And I'm Proud - Live At Dallas Memorial Auditorium / 1968,2018-10-12,-0.88,-0.06,0.21,-0.95,-0.90
Say It Loud - I'm Black And I'm Proud - Live At Dallas Memorial Auditorium / 1968,2018-10-12,0.30,1.32,0.21,0.63,1.39
"I Guess I'll Have To Cry, Cry, Cry - Live At Dallas Memorial Auditorium / 1968",2018-10-12,1.47,0.19,-1.29,0.24,0.74
That's Life - Live At Dallas Memorial Auditorium / 1968,2018-10-12,0.37,0.36,-0.81,0.43,0.31
Kansas City - Live At Dallas Memorial Auditorium / 1968,2018-10-12,-0.08,1.11,-1.29,0.83,1.05
The Popcorn - Live At Dallas Memorial Auditorium / 1968,2018-10-12,0.13,0.95,0.45,0.24,1.74
Soul Pride - Live At Dallas Memorial Auditorium / 1968,2018-10-12,0.02,0.44,-0.21,0.24,-0.12
Tighten Up - Live At Dallas Memorial Auditorium / 1968 / Instrumental,2018-10-12,0.82,1.36,-1.29,0.24,0.79
Suds - Live At Dallas Memorial Auditorium / 1968,2018-10-12,1.44,0.90,-0.81,0.43,1.09
Introduction To Star Time! - Live At Dallas Memorial Auditorium / 1968,2018-10-12,-1.12,0.82,0.21,0.43,1.48
Licking Stick - Licking Stick - Live At Dallas Memorial Auditorium / 1968,2018-10-12,0.16,0.95,-0.87,0.63,1.43
Cold Sweat - Live At Dallas Memorial Auditorium / 1968,2018-10-12,0.61,1.20,-0.45,0.63,0.18
"There Was A Time - Live At Dallas Memorial Auditorium, 1968",2018-10-12,0.82,1.28,-0.69,0.63,-0.04
Medley: Try Me/ Lost Someone/ Bewildered - Live At Dallas Memorial Auditorium / 1968,2018-10-12,-1.36,-0.31,-1.35,0.24,-0.43
Papa's Got A Brand New Bag - Live At Dallas Memorial Auditorium / 1968,2018-10-12,-1.08,1.36,-1.53,0.63,2.08
I Got The Feelin' - Live At Dallas Memorial Auditorium / 1968,2018-10-12,1.37,1.15,0.09,0.63,0.66
Maybe The Last Time - Live At Dallas Memorial Auditorium / 1968,2018-10-12,-1.46,0.99,-0.69,0.63,1.00
I Got You (I Feel Good) - Live At Dallas Memorial Auditorium / 1968,2018-10-12,-0.25,1.15,-0.75,0.63,1.69
"Please, Please, Please - Live At Dallas Memorial Auditorium / 1968",2018-10-12,0.78,1.49,-1.77,0.83,0.44
I Can't Stand Myself (When You Touch Me) - Live At Dallas Memorial Auditorium / 1968,2018-10-12,0.99,1.66,-0.33,0.43,0.27
Finale: Cold Sweat/ I Got The Feeling/ Sait It Loud - I'm Black And I'm Proud - Live At Dallas Memorial Auditorium / 1968,2018-10-12,0.78,1.66,-0.81,0.43,-0.99
